RefDes,Qty,Description,Manufacturer,MPN,Package,Notes
A1,1,Arduino Nano Every (plugs into 2x 1x15 female 2.54 mm headers),Arduino,ABX00028,Arduino_Nano,
C5,1,Capacitor 1 uF 10% X5R 0603,Samsung,CL10A105KB8NNNC,C_0603,LCSC C15849
C6,1,Capacitor 10 uF 10% X5R 25 V 0805,Samsung,CL21A106KAYNNNE,C_0805,LCSC C15850
"C7, C8",2,Capacitor 100 nF 10% X7R 50 V 0603,Yageo,CC0603KRX7R9BB104,C_0603,LCSC C14663
"C41, C51, C111, C151, C181, C541, C551, C611, C651, C681",10,Capacitor 100 nF 10% X7R 16 V 0402,Samsung,CL05B104KO5NNNC,C_0402,LCSC C1525
"C81, C101, C581, C601",4,Capacitor 27 pF 5% C0G 0402,FH,0402CG270J500NT,C_0402,LCSC C1557
"C121, C131",2,Capacitor 3.9 pF +/-0.25 pF C0G 0402,Murata,GRM1555C1H3R9CA01D,C_0402,LCSC C85940
C122,1,Capacitor 8.2 pF +/-0.25 pF C0G 0402,Murata,GRM1555C1H8R2CA01D,C_0402,LCSC C76984
C123,1,Capacitor 5.6 pF +/-0.25 pF C0G 0402,Murata,GRM1555C1H5R6CA01D,C_0402,LCSC C85941
"C124, C125",2,Capacitor 330 pF 5% C0G 0402 (DC block / RF bypass),Samsung,CL05C331JB5NNNC,C_0402,LCSC C13533
C301,1,Capacitor 1.1 pF C0G 50 V 0603 (antenna match),Murata,GQM1875C2E1R1BB12D,C_0603,LCSC C3863168
C311,1,Capacitor 10 pF C0G 50 V 0603 (antenna match),Samsung,CL10C100JB8NNNC,C_0603,LCSC C1634
C321,1,Capacitor 3.6 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603BRNPO9BN3R6,C_0603,LCSC C519106
C331,1,Capacitor 2.7 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603CRNPO9BN2R7,C_0603,LCSC C282247
C621,1,Capacitor 1.0 pF +/-0.1 pF C0G 0402,Murata,GRM1555C1H1R0BA01D,C_0402,LCSC C76952
"C622, C631",2,Capacitor 1.5 pF +/-0.1 pF C0G 0402,Murata,GRM1555C1H1R5BA01D,C_0402,LCSC C76957
C623,1,Capacitor 3.3 pF +/-0.1 pF C0G 0402,YAGEO,CC0402BRNPO9BN3R3,C_0402,LCSC C327287
C624,1,Capacitor 100 pF 5% C0G 0402,FH,0402CG101J500NT,C_0402,LCSC C1546
C625,1,Capacitor 12 pF 5% C0G 0402,FH,0402CG120J500NT,C_0402,LCSC C1547
D1,1,LED red 0603,Hubei KENTO Elec,KT-0603R,LED_0603,LCSC C2286
"J1, J2",2,"SMA jack, edge mount (end launch), 50 ohm, 1.6 mm board",BAT WIRELESS,BWSMA-KE-P001,SMA,LCSC C496550
J3,1,"Pin header 1x15 2.54 mm male, straight (breakout)",Megastar,ZX-PZ2.54-1-15PZZ,PinHeader_1x15,LCSC C7501269
J4,1,"Pin header 1x15 2.54 mm male, straight (breakout)",Megastar,ZX-PZ2.54-1-15PZZ,PinHeader_1x15,LCSC C7501269
"L121, L123, L131",3,Inductor 27 nH 5% multilayer 0402,Murata,LQG15HS27NJ02D,L_0402,LCSC C12669
L122,1,Inductor 22 nH 5% multilayer 0402,Murata,LQG15HS22NJ02D,L_0402,LCSC C12670
L301,1,Capacitor 5.1 pF C0G 50 V 0603 (antenna match),Murata,GRM1885C1H5R1CA01D,L_0603,LCSC C6955114
"L311, L404, L405",3,Jumper 0 ohm 0603,UNI-ROYAL,0603WAF0000T5E,L_0603,LCSC C21189
L321,1,Capacitor 6.2 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603BRNPO9BN6R2,L_0603,LCSC C519113
L331,1,Capacitor 2.7 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603CRNPO9BN2R7,L_0603,LCSC C282247
L401,1,Capacitor 51 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603JRNPO9BN510,L_0603,LCSC C107051
L402,1,Inductor 39 nH wire-wound 2 % 0603 (antenna tuning),Murata,LQW18AN39NG00D,L_0603,LCSC C86134
"L621, L623, L624, L631",4,Inductor 12 nH 5% wire-wound 0402 (868/915 balun),Murata,LQW15AN12NJ00D,L_0402,LCSC C82920
"L622, L632",2,Inductor 18 nH 5% wire-wound 0402 (868/915 balun),Murata,LQW15AN18NJ00D,L_0402,LCSC C82917
R1,1,Resistor 1 kohm 1% 0603,UNI-ROYAL,0603WAF1001T5E,R_0603,LCSC C21190
"R171, R671",2,Resistor 56 kohm 1% 0402 (CC1101 RBIAS),UNI-ROYAL,0402WGF5602TCE,R_0402,LCSC C25796
"R301, R321, R401, R402, R404, R405",6,Jumper 0 ohm 0603,UNI-ROYAL,0603WAF0000T5E,R_0603,LCSC C21189
R311,1,not fitted (DNP (2.7pF to use)),,,R_0603,leave empty unless re-selecting the antenna
R331,1,not fitted (DNP (0R to use)),,,R_0603,leave empty unless re-selecting the antenna
"R403, R406",2,not fitted (DNP),,,R_0603,leave empty unless re-selecting the antenna
"U1, U501",2,"Sub-1 GHz RF transceiver, 300-928 MHz",Texas Instruments,CC1101RGPR,QFN,LCSC C29953
U2,1,LDO 3.3 V 600 mA,Diodes Inc,AP2112K-3.3TRG1,SOT-23-5,LCSC C51118
U3,1,8-bit auto-direction level translator 3.3 V <-> 5 V,Texas Instruments,TXS0108EPWR,TSSOP-20,LCSC C17206
"Y1, Y501",2,Crystal 26 MHz +/-10 ppm CL 16 pF 3225,YXC,X322526MQB4SI,Crystal,LCSC C70573
"S1, S2",2,Female header 1x15 2.54 mm (Nano socket),Generic,,HDR-1x15-F,optional; or solder the Nano directly
