Item,Qty,RefDes,Value,Description,Manufacturer,MPN,LCSC,Package,Fitting
1,1,C5,1uF,Capacitor 1 uF 10% X5R 0603,Samsung,CL10A105KB8NNNC,C15849,C_0603,SMT
2,1,C6,10uF,Capacitor 10 uF 10% X5R 25 V 0805,Samsung,CL21A106KAYNNNE,C15850,C_0805,SMT
3,2,C7 C8,100nF,Capacitor 100 nF 10% X7R 50 V 0603,Yageo,CC0603KRX7R9BB104,C14663,C_0603,SMT
4,10,C41 C51 C111 C151 C181 C541 C551 C611 C651 C681,100nF,Capacitor 100 nF 10% X7R 16 V 0402,Murata,GRM155R71C104KA88D,C71629,C_0402,SMT
5,4,C81 C101 C581 C601,27pF,Capacitor 27 pF 5% C0G 0402,YAGEO,CC0402JRNPO9BN270,C107002,C_0402,SMT
6,2,C121 C131,3.9pF,Capacitor 3.9 pF +/-0.25 pF C0G 0402,Murata,GRM1555C1H3R9CA01D,C85940,C_0402,SMT
7,1,C122,8.2pF,Capacitor 8.2 pF +/-0.25 pF C0G 0402,Murata,GRM1555C1H8R2CA01D,C76984,C_0402,SMT
8,1,C123,5.6pF,Capacitor 5.6 pF +/-0.25 pF C0G 0402,Murata,GRM1555C1H5R6CA01D,C85941,C_0402,SMT
9,2,C124 C125,220pF,Capacitor 220 pF 5% C0G 0402,Murata,GRM1555C1H221JA01D,C71693,C_0402,SMT
10,1,C301,1.1pF,Capacitor 1.1 pF C0G 50 V 0603 (antenna match),Murata,GQM1875C2E1R1BB12D,C3863168,C_0603,SMT
11,1,C311,10pF,Capacitor 10 pF C0G 50 V 0603 (antenna match),Murata,GRM1885C1H100JA01D,C84498,C_0603,SMT
12,1,C321,3.6pF,Capacitor 3.6 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603BRNPO9BN3R6,C519106,C_0603,SMT
13,1,C331,2.7pF,Capacitor 2.7 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603CRNPO9BN2R7,C282247,C_0603,SMT
14,1,C621,1.0pF,Capacitor 1.0 pF +/-0.1 pF C0G 0402,Murata,GRM1555C1H1R0BA01D,C76952,C_0402,SMT
15,2,C622 C631,1.5pF,Capacitor 1.5 pF +/-0.1 pF C0G 0402,Murata,GRM1555C1H1R5BA01D,C76957,C_0402,SMT
16,1,C623,3.3pF,Capacitor 3.3 pF +/-0.1 pF C0G 0402,YAGEO,CC0402BRNPO9BN3R3,C327287,C_0402,SMT
17,1,C624,100pF,Capacitor 100 pF 5% C0G 0402,Murata,GRM1555C1H101JA01D,C77177,C_0402,SMT
18,1,C625,12pF,Capacitor 12 pF 5% C0G 0402,Murata,GRM1555C1H120JA01D,C76948,C_0402,SMT
19,1,D1,green,LED green 0603,Everlight,19-217/GHC-YR1S2/6T,C2986059,LED_0603,SMT
20,3,L121 L123 L131,27nH,Inductor 27 nH 5% multilayer 0402,Murata,LQG15HS27NJ02D,C12669,L_0402,SMT
21,1,L122,22nH,Inductor 22 nH 5% multilayer 0402,Murata,LQG15HS22NJ02D,C12670,L_0402,SMT
22,1,L301,5.1pF,Capacitor 5.1 pF C0G 50 V 0603 (antenna match),Murata,GRM1885C1H5R1CA01D,C6955114,L_0603,SMT
23,3,L311 L404 L405,0R,Jumper 0 ohm 0603,UNI-ROYAL,0603WAF0000T5E,C21189,L_0603,SMT
24,1,L321,6.2pF,Capacitor 6.2 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603BRNPO9BN6R2,C519113,L_0603,SMT
25,1,L331,2.7pF,Capacitor 2.7 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603CRNPO9BN2R7,C282247,L_0603,SMT
26,1,L401,51pF,Capacitor 51 pF C0G 50 V 0603 (antenna match),YAGEO,CC0603JRNPO9BN510,C107051,L_0603,SMT
27,1,L402,39nH,Inductor 39 nH wire-wound 2 % 0603 (antenna tuning),Murata,LQW18AN39NG00D,C86134,L_0603,SMT
28,4,L621 L623 L624 L631,12nH,Inductor 12 nH 5% wire-wound 0402 (868/915 balun),Murata,LQW15AN12NJ00D,C82920,L_0402,SMT
29,2,L622 L632,18nH,Inductor 18 nH 5% wire-wound 0402 (868/915 balun),Murata,LQW15AN18NJ00D,C82917,L_0402,SMT
30,1,R1,1k,Resistor 1 kohm 1% 0603,UNI-ROYAL,0603WAF1001T5E,C21190,R_0603,SMT
31,2,R171 R671,56k 1%,Resistor 56 kohm 1% 0402 (CC1101 RBIAS),KOA Speer,RK73H1ETTP5602F,C71703,R_0402,SMT
32,6,R301 R321 R401 R402 R404 R405,0R,Jumper 0 ohm 0603,UNI-ROYAL,0603WAF0000T5E,C21189,R_0603,SMT
33,2,U1 U501,CC1101RGPR,"Sub-1 GHz RF transceiver, 300-928 MHz",Texas Instruments,CC1101RGPR,C29953,QFN,SMT
34,1,U2,AP2112K-3.3,LDO 3.3 V 600 mA,Diodes Inc,AP2112K-3.3TRG1,C51118,SOT-23-5,SMT
35,1,U3,TXS0108EPWR,8-bit auto-direction level translator 3.3 V <-> 5 V,Texas Instruments,TXS0108EPWR,C17206,TSSOP-20,SMT
36,2,Y1 Y501,26MHz,Crystal 26 MHz +/-10 ppm CL 16 pF 3225,YXC,X322526MQB4SI,C70573,Crystal,SMT
